case,activity,timestamp,resource,department,group,channel,enddate,responsible,org_group,activity_id
case-4518,T06 Determine necessity of stop advice,2010/12/06 11:11:52,Resource05,General,,Internet,2010-12-13 10:05:15.332000+01:00,Resource05,Group 1,4
case-4518,T10 Determine necessity to stop indication,2010/12/06 11:12:27,Resource05,General,,Internet,2010-12-13 10:05:15.332000+01:00,Resource05,Group 1,5
case-4518,T05 Print and send confirmation of receipt,2010/12/06 11:13:36,Resource05,General,,Internet,2010-12-13 10:05:15.332000+01:00,Resource05,Group 2,7
case-4518,T11 Create document X request unlicensed,2010/12/06 11:19:56,Resource05,General,,Internet,2010-12-13 10:05:15.332000+01:00,Resource05,EMPTY,12
case-4518,T12 Check document X request unlicensed,2010/12/13 09:58:10,Resource05,General,,Internet,2010-12-13 10:05:15.332000+01:00,Resource05,Group 4,13
case-4518,T14 Determine document X request unlicensed,2010/12/13 09:58:45,Resource05,General,,Internet,2010-12-13 10:05:15.332000+01:00,Resource05,Group 3,14
case-4518,T15 Print document X request unlicensed,2010/12/13 10:05:15,Resource05,General,,Internet,2010-12-13 10:05:15.332000+01:00,Resource05,Group 2,15
case-10324,Confirmation of receipt,2011/11/04 13:05:32,Resource26,General,,Internet,,Resource26,Group 1,1
case-10324,T06 Determine necessity of stop advice,2011/11/08 11:03:26,Resource26,General,,Internet,,Resource26,Group 1,4
case-10324,T07-1 Draft intern advice aspect 1,2011/12/12 12:12:42,Resource24,General,,Internet,,Resource26,Group 13,16
case-7763,Confirmation of receipt,2011/05/30 11:17:44,Resource02,General,,Internet,2011-06-01 09:02:45.723000+02:00,Resource02,Group 1,1
case-7763,T02 Check confirmation of receipt,2011/05/30 11:18:05,Resource02,General,,Internet,2011-06-01 09:02:45.723000+02:00,Resource02,Group 4,2
case-7763,T04 Determine confirmation of receipt,2011/05/30 11:18:30,Resource02,General,,Internet,2011-06-01 09:02:45.723000+02:00,Resource02,Group 3,6
case-7763,T05 Print and send confirmation of receipt,2011/05/30 11:18:43,Resource02,General,,Internet,2011-06-01 09:02:45.723000+02:00,Resource02,Group 2,7
case-7763,T06 Determine necessity of stop advice,2011/05/30 11:20:40,Resource02,General,,Internet,2011-06-01 09:02:45.723000+02:00,Resource02,Group 1,4
case-7763,T10 Determine necessity to stop indication,2011/05/30 11:21:00,Resource02,General,,Internet,2011-06-01 09:02:45.723000+02:00,Resource02,Group 1,5
case-7094,Confirmation of receipt,2011/05/02 09:48:02,Resource05,General,,Internet,2011-06-16 14:45:04.264000+02:00,Resource05,EMPTY,1
case-7094,T02 Check confirmation of receipt,2011/05/02 09:51:15,Resource05,General,,Internet,2011-06-16 14:45:04.264000+02:00,Resource05,Group 4,2
case-7094,T04 Determine confirmation of receipt,2011/05/02 09:51:37,Resource05,General,,Internet,2011-06-16 14:45:04.264000+02:00,Resource05,Group 3,6
case-7094,T05 Print and send confirmation of receipt,2011/05/02 09:51:58,Resource05,General,,Internet,2011-06-16 14:45:04.264000+02:00,Resource05,Group 2,7
case-7094,T06 Determine necessity of stop advice,2011/05/02 09:52:19,Resource05,General,,Internet,2011-06-16 14:45:04.264000+02:00,Resource05,Group 1,4
case-7094,T10 Determine necessity to stop indication,2011/05/02 09:53:19,Resource05,General,,Internet,2011-06-16 14:45:04.264000+02:00,Resource05,Group 1,5
case-7094,T16 Report reasons to hold request,2011/05/02 09:56:11,Resource05,General,,Internet,2011-06-16 14:45:04.264000+02:00,Resource05,Group 1,8
case-7094,T17 Check report Y to stop indication,2011/05/02 09:57:37,Resource05,General,,Internet,2011-06-16 14:45:04.264000+02:00,Resource05,Group 4,9
case-7094,T19 Determine report Y to stop indication,2011/05/02 09:59:10,Resource05,General,,Internet,2011-06-16 14:45:04.264000+02:00,Resource05,Group 3,10
case-7094,T20 Print report Y to stop indication,2011/05/02 09:59:23,Resource05,General,,Internet,2011-06-16 14:45:04.264000+02:00,Resource05,Group 2,11
case-10287,Confirmation of receipt,2011/11/09 10:36:08,Resource03,General,Group 8,Internet,2011-12-23 14:11:59.502000+01:00,Resource11,EMPTY,1
case-10287,T02 Check confirmation of receipt,2011/11/09 10:36:27,Resource03,General,Group 8,Internet,2011-12-23 14:11:59.502000+01:00,Resource11,Group 4,2
case-10287,T04 Determine confirmation of receipt,2011/11/09 10:36:44,Resource03,General,Group 8,Internet,2011-12-23 14:11:59.502000+01:00,Resource11,Group 3,6
case-10287,T05 Print and send confirmation of receipt,2011/11/09 10:36:59,Resource03,General,Group 8,Internet,2011-12-23 14:11:59.502000+01:00,Resource11,Group 2,7
case-10287,T06 Determine necessity of stop advice,2011/11/09 10:37:15,Resource03,General,Group 8,Internet,2011-12-23 14:11:59.502000+01:00,Resource11,Group 1,4
case-10287,T10 Determine necessity to stop indication,2011/11/09 10:37:34,Resource03,General,Group 8,Internet,2011-12-23 14:11:59.502000+01:00,Resource11,Group 1,5
case-5983,Confirmation of receipt,2011/02/16 11:37:58,Resource15,General,,Internet,2011-03-29 14:10:17.464000+02:00,Resource15,EMPTY,1
case-5983,T02 Check confirmation of receipt,2011/02/16 12:37:06,Resource10,General,,Internet,2011-03-29 14:10:17.464000+02:00,Resource15,Group 4,2
case-5983,T04 Determine confirmation of receipt,2011/02/16 12:37:18,Resource10,General,,Internet,2011-03-29 14:10:17.464000+02:00,Resource15,Group 3,6
case-5983,T05 Print and send confirmation of receipt,2011/02/16 14:24:36,admin1,General,,Internet,2011-03-29 14:10:17.464000+02:00,Resource15,Group 2,7
case-5983,T06 Determine necessity of stop advice,2011/02/18 10:36:01,Resource15,General,,Internet,2011-03-29 14:10:17.464000+02:00,Resource15,Group 1,4
case-5983,T10 Determine necessity to stop indication,2011/02/18 10:36:19,Resource15,General,,Internet,2011-03-29 14:10:17.464000+02:00,Resource15,Group 1,5
case-7911,Confirmation of receipt,2011/06/28 11:03:09,Resource01,General,Group 8,Internet,2011-07-13 08:05:04.176000+02:00,Resource11,Group 1,1
case-7911,T02 Check confirmation of receipt,2011/06/28 11:03:30,Resource01,General,Group 8,Internet,2011-07-13 08:05:04.176000+02:00,Resource11,Group 4,2
case-7911,T04 Determine confirmation of receipt,2011/06/28 11:03:45,Resource01,General,Group 8,Internet,2011-07-13 08:05:04.176000+02:00,Resource11,Group 3,6
case-7911,T05 Print and send confirmation of receipt,2011/06/28 11:04:02,Resource01,General,Group 8,Internet,2011-07-13 08:05:04.176000+02:00,Resource11,Group 2,7
case-7911,T06 Determine necessity of stop advice,2011/06/28 11:04:22,Resource01,General,Group 8,Internet,2011-07-13 08:05:04.176000+02:00,Resource11,Group 1,4
case-7911,T10 Determine necessity to stop indication,2011/06/28 11:04:57,Resource01,General,Group 8,Internet,2011-07-13 08:05:04.176000+02:00,Resource11,Group 1,5
case-4346,Confirmation of receipt,2010/11/25 09:01:06,Resource21,General,,Internet,2011-08-18 08:42:21.805000+02:00,Resource21,Group 1,1
case-4346,T02 Check confirmation of receipt,2010/11/25 09:09:53,Resource21,General,,Internet,2011-08-18 08:42:21.805000+02:00,Resource21,EMPTY,2
case-4346,T04 Determine confirmation of receipt,2010/11/25 10:24:54,Resource21,General,,Internet,2011-08-18 08:42:21.805000+02:00,Resource21,Group 3,6
case-4346,T05 Print and send confirmation of receipt,2010/11/30 09:32:31,admin1,General,,Internet,2011-08-18 08:42:21.805000+02:00,Resource21,Group 2,7
case-4346,T06 Determine necessity of stop advice,2011/04/04 13:48:49,Resource21,General,,Internet,2011-08-18 08:42:21.805000+02:00,Resource21,EMPTY,4
case-4346,T07-1 Draft intern advice aspect 1,2011/04/04 13:51:48,Resource21,General,,Internet,2011-08-18 08:42:21.805000+02:00,Resource21,Group 13,16
case-4346,T06 Determine necessity of stop advice,2011/04/04 13:52:20,Resource21,General,,Internet,2011-08-18 08:42:21.805000+02:00,Resource21,Group 1,4
case-4346,T10 Determine necessity to stop indication,2011/04/04 13:54:21,Resource21,General,,Internet,2011-08-18 08:42:21.805000+02:00,Resource21,Group 1,5
case-9373,Confirmation of receipt,2011/09/08 11:31:49,Resource01,General,Group 8,Internet,2011-09-20 12:18:28.793000+02:00,Resource11,EMPTY,1
case-9373,T02 Check confirmation of receipt,2011/09/08 11:32:07,Resource01,General,Group 8,Internet,2011-09-20 12:18:28.793000+02:00,Resource11,Group 4,2
case-9373,T04 Determine confirmation of receipt,2011/09/08 11:32:25,Resource01,General,Group 8,Internet,2011-09-20 12:18:28.793000+02:00,Resource11,Group 3,6
case-9373,T05 Print and send confirmation of receipt,2011/09/08 11:32:46,Resource01,General,Group 8,Internet,2011-09-20 12:18:28.793000+02:00,Resource11,Group 2,7
case-9373,T06 Determine necessity of stop advice,2011/09/08 11:33:03,Resource01,General,Group 8,Internet,2011-09-20 12:18:28.793000+02:00,Resource11,Group 1,4
case-9373,T10 Determine necessity to stop indication,2011/09/08 11:33:26,Resource01,General,Group 8,Internet,2011-09-20 12:18:28.793000+02:00,Resource11,Group 1,5
case-6153,Confirmation of receipt,2011/03/14 12:12:11,Resource05,General,,Internet,2011-04-29 09:04:28.140000+02:00,Resource05,EMPTY,1
case-6153,T02 Check confirmation of receipt,2011/03/14 12:12:30,Resource05,General,,Internet,2011-04-29 09:04:28.140000+02:00,Resource05,Group 4,2
case-6153,T04 Determine confirmation of receipt,2011/03/14 12:13:59,Resource05,General,,Internet,2011-04-29 09:04:28.140000+02:00,Resource05,Group 3,6
case-6153,T05 Print and send confirmation of receipt,2011/03/14 12:14:16,Resource05,General,,Internet,2011-04-29 09:04:28.140000+02:00,Resource05,Group 2,7
case-6153,T06 Determine necessity of stop advice,2011/03/16 07:36:30,Resource05,General,,Internet,2011-04-29 09:04:28.140000+02:00,Resource05,Group 1,4
case-6153,T10 Determine necessity to stop indication,2011/03/16 07:37:04,Resource05,General,,Internet,2011-04-29 09:04:28.140000+02:00,Resource05,Group 1,5
case-4903,Confirmation of receipt,2011/01/04 11:24:04,Resource15,General,,Internet,2011-02-08 00:00:00.010000+01:00,Resource35,EMPTY,1
case-4903,T02 Check confirmation of receipt,2011/01/04 16:42:52,Resource10,General,,Internet,2011-02-08 00:00:00.010000+01:00,Resource35,Group 4,2
case-4903,T04 Determine confirmation of receipt,2011/01/04 16:43:11,Resource10,General,,Internet,2011-02-08 00:00:00.010000+01:00,Resource35,Group 3,6
case-4903,T05 Print and send confirmation of receipt,2011/01/07 11:55:07,admin1,General,,Internet,2011-02-08 00:00:00.010000+01:00,Resource35,Group 2,7
case-4903,T06 Determine necessity of stop advice,2011/01/12 16:56:06,Resource35,General,,Internet,2011-02-08 00:00:00.010000+01:00,Resource35,Group 1,4
case-4903,T10 Determine necessity to stop indication,2011/02/09 09:28:46,admin2,General,,Internet,2011-02-08 00:00:00.010000+01:00,Resource35,Group 1,5
case-3879,Confirmation of receipt,2010/10/27 09:27:51,Resource11,General,,Internet,2010-12-06 09:01:13.501000+01:00,Resource01,EMPTY,1
case-3879,T02 Check confirmation of receipt,2010/11/04 11:23:25,Resource19,General,,Internet,2010-12-06 09:01:13.501000+01:00,Resource01,EMPTY,2
case-3879,T06 Determine necessity of stop advice,2010/11/04 15:03:15,Resource11,General,,Internet,2010-12-06 09:01:13.501000+01:00,Resource01,Group 1,4
case-3879,T10 Determine necessity to stop indication,2010/11/04 15:03:49,Resource11,General,,Internet,2010-12-06 09:01:13.501000+01:00,Resource01,Group 1,5
case-3879,T04 Determine confirmation of receipt,2010/11/26 09:30:16,Resource19,General,,Internet,2010-12-06 09:01:13.501000+01:00,Resource01,EMPTY,6
case-3879,T05 Print and send confirmation of receipt,2010/12/02 07:40:21,Resource11,General,,Internet,2010-12-06 09:01:13.501000+01:00,Resource01,EMPTY,7
case-10670,Confirmation of receipt,2011/12/07 14:45:21,Resource03,General,Group 8,Internet,2012-01-05 14:43:14.280000+01:00,Resource11,EMPTY,1
case-10670,T02 Check confirmation of receipt,2011/12/07 14:46:27,Resource03,General,Group 8,Internet,2012-01-05 14:43:14.280000+01:00,Resource11,Group 4,2
case-10670,T04 Determine confirmation of receipt,2011/12/07 14:46:44,Resource03,General,Group 8,Internet,2012-01-05 14:43:14.280000+01:00,Resource11,Group 3,6
case-10670,T05 Print and send confirmation of receipt,2011/12/07 14:47:02,Resource03,General,Group 8,Internet,2012-01-05 14:43:14.280000+01:00,Resource11,Group 2,7
case-10670,T06 Determine necessity of stop advice,2011/12/07 14:47:22,Resource03,General,Group 8,Internet,2012-01-05 14:43:14.280000+01:00,Resource11,Group 1,4
case-10670,T10 Determine necessity to stop indication,2011/12/07 14:47:44,Resource03,General,Group 8,Internet,2012-01-05 14:43:14.280000+01:00,Resource11,Group 1,5
case-11460,Confirmation of receipt,2012/01/19 16:12:19,Resource06,General,Group 5,Desk,,Resource06,EMPTY,1
case-11460,T02 Check confirmation of receipt,2012/01/19 16:14:07,Resource06,General,Group 5,Desk,,Resource06,Group 4,2
case-11460,T04 Determine confirmation of receipt,2012/01/19 16:14:39,Resource06,General,Group 5,Desk,,Resource06,Group 3,6
case-11460,T06 Determine necessity of stop advice,2012/01/19 16:15:25,Resource06,General,Group 5,Desk,,Resource06,Group 1,4
case-11460,T10 Determine necessity to stop indication,2012/01/19 16:15:58,Resource06,General,Group 5,Desk,,Resource06,Group 1,5
case-11460,T05 Print and send confirmation of receipt,2012/01/20 13:53:13,admin1,General,Group 5,Desk,,Resource06,Group 2,7
case-6216,Confirmation of receipt,2011/03/07 10:49:17,Resource18,General,,Internet,2011-05-17 15:14:34.635000+02:00,Resource18,EMPTY,1
case-6216,T02 Check confirmation of receipt,2011/03/07 10:49:30,Resource18,General,,Internet,2011-05-17 15:14:34.635000+02:00,Resource18,Group 4,2
case-6216,T04 Determine confirmation of receipt,2011/03/07 10:49:42,Resource18,General,,Internet,2011-05-17 15:14:34.635000+02:00,Resource18,Group 3,6
case-6216,T05 Print and send confirmation of receipt,2011/03/07 10:49:53,Resource18,General,,Internet,2011-05-17 15:14:34.635000+02:00,Resource18,Group 2,7
case-6216,T06 Determine necessity of stop advice,2011/03/07 10:50:04,Resource18,General,,Internet,2011-05-17 15:14:34.635000+02:00,Resource18,Group 1,4
case-6216,T10 Determine necessity to stop indication,2011/03/07 10:50:20,Resource18,General,,Internet,2011-05-17 15:14:34.635000+02:00,Resource18,Group 1,5
case-5144,Confirmation of receipt,2011/01/13 09:54:02,Resource12,General,,Desk,2011-04-12 13:53:01.110000+02:00,Resource12,EMPTY,1
case-5144,T06 Determine necessity of stop advice,2011/01/14 08:20:20,Resource12,General,,Desk,2011-04-12 13:53:01.110000+02:00,Resource12,Group 1,4
case-5144,T10 Determine necessity to stop indication,2011/01/14 08:20:51,Resource12,General,,Desk,2011-04-12 13:53:01.110000+02:00,Resource12,Group 1,5
case-5144,T02 Check confirmation of receipt,2011/01/14 08:23:19,Resource12,General,,Desk,2011-04-12 13:53:01.110000+02:00,Resource12,EMPTY,2
case-5144,T04 Determine confirmation of receipt,2011/02/17 11:57:53,Resource12,General,,Desk,2011-04-12 13:53:01.110000+02:00,Resource12,EMPTY,6
case-5144,T05 Print and send confirmation of receipt,2011/02/17 15:00:55,admin1,General,,Desk,2011-04-12 13:53:01.110000+02:00,Resource12,Group 2,7
case-5957,Confirmation of receipt,2011/02/17 10:21:31,Resource01,General,,Desk,2011-04-07 14:57:18.547000+02:00,Resource11,EMPTY,1
case-5957,T02 Check confirmation of receipt,2011/02/17 10:22:02,Resource01,General,,Desk,2011-04-07 14:57:18.547000+02:00,Resource11,Group 4,2
case-5957,T04 Determine confirmation of receipt,2011/02/17 10:22:15,Resource01,General,,Desk,2011-04-07 14:57:18.547000+02:00,Resource11,Group 3,6
case-5957,T05 Print and send confirmation of receipt,2011/02/17 10:22:29,Resource01,General,,Desk,2011-04-07 14:57:18.547000+02:00,Resource11,Group 2,7
case-5957,T06 Determine necessity of stop advice,2011/02/17 10:22:51,Resource01,General,,Desk,2011-04-07 14:57:18.547000+02:00,Resource11,Group 1,4
case-5957,T10 Determine necessity to stop indication,2011/02/17 10:24:24,Resource01,General,,Desk,2011-04-07 14:57:18.547000+02:00,Resource11,Group 1,5
case-6378,Confirmation of receipt,2011/03/11 14:58:30,Resource02,General,,Internet,2011-06-16 13:55:21.953000+02:00,Resource02,EMPTY,1
case-6378,T02 Check confirmation of receipt,2011/03/11 14:58:54,Resource02,General,,Internet,2011-06-16 13:55:21.953000+02:00,Resource02,Group 4,2
case-6378,T06 Determine necessity of stop advice,2011/03/11 14:59:09,Resource02,General,,Internet,2011-06-16 13:55:21.953000+02:00,Resource02,Group 1,4
case-6378,T04 Determine confirmation of receipt,2011/03/11 15:39:35,Resource10,General,,Internet,2011-06-16 13:55:21.953000+02:00,Resource02,Group 3,6
case-6378,T05 Print and send confirmation of receipt,2011/03/11 16:08:00,admin1,General,,Internet,2011-06-16 13:55:21.953000+02:00,Resource02,Group 2,7
case-6378,T10 Determine necessity to stop indication,2011/03/14 11:55:06,Resource02,General,,Internet,2011-06-16 13:55:21.953000+02:00,Resource02,Group 1,5
case-6765,Confirmation of receipt,2011/04/05 16:03:42,Resource08,General,,Internet,2011-05-13 09:54:20.801000+02:00,Resource08,EMPTY,1
case-6765,T02 Check confirmation of receipt,2011/04/06 13:36:06,Resource08,General,,Internet,2011-05-13 09:54:20.801000+02:00,Resource08,EMPTY,2
case-6765,T04 Determine confirmation of receipt,2011/04/06 13:37:59,Resource08,General,,Internet,2011-05-13 09:54:20.801000+02:00,Resource08,EMPTY,6
case-6765,T06 Determine necessity of stop advice,2011/04/06 13:44:00,Resource08,General,,Internet,2011-05-13 09:54:20.801000+02:00,Resource08,Group 1,4
case-6765,T10 Determine necessity to stop indication,2011/04/06 13:45:08,Resource08,General,,Internet,2011-05-13 09:54:20.801000+02:00,Resource08,Group 1,5
case-6765,T05 Print and send confirmation of receipt,2011/04/06 15:27:53,admin1,General,,Internet,2011-05-13 09:54:20.801000+02:00,Resource08,Group 2,7
case-8782,Confirmation of receipt,2011/08/09 08:31:58,Resource05,General,Group 5,Internet,2011-09-26 12:37:11.822000+02:00,Resource05,EMPTY,1
case-8782,T02 Check confirmation of receipt,2011/08/09 08:32:39,Resource05,General,Group 5,Internet,2011-09-26 12:37:11.822000+02:00,Resource05,Group 4,2
